Sample,X,Y,Z
475,-0.023,0.027,1.016
476,0.051,0.109,1.031
477,0.090,0.133,1.055
478,-0.102,0.008,1.109
479,-0.168,-0.090,1.117
480,-0.082,-0.016,1.203
481,0.051,0.109,1.152
482,0.152,0.070,1.094
483,-0.043,-0.062,1.066
484,-0.090,-0.066,1.023
485,-0.023,0.023,1.055
486,0.055,0.133,1.055
487,0.043,0.078,1.035
488,-0.027,-0.043,0.867
489,-0.027,-0.031,0.863
490,0.055,0.082,0.969
491,0.074,0.055,1.008
492,0.070,-0.086,0.938
493,0.008,-0.098,0.996
494,-0.016,-0.027,1.012
495,0.039,0.051,0.984
496,0.043,0.031,1.012
497,0.027,-0.023,0.980
498,0.008,-0.039,1.023
499,-0.031,0.016,1.086
500,-0.074,0.023,1.086
501,-0.086,-0.059,1.047
502,0.012,-0.062,1.039
503,0.086,0.023,1.090
504,0.027,0.000,1.051
505,-0.070,-0.137,1.066
506,-0.152,-0.133,1.051
507,-0.109,-0.023,1.008
508,0.117,0.055,0.961
509,0.082,0.039,0.953
510,-0.066,-0.074,0.922
511,-0.082,-0.102,0.961
512,-0.020,0.008,1.043
513,0.105,0.059,1.098
514,0.090,-0.031,1.008
515,-0.012,-0.156,0.914
516,0.004,-0.094,0.953
517,0.035,0.020,1.023
518,0.035,0.020,1.023
519,0.059,-0.016,0.992
520,0.023,-0.074,0.980
521,-0.047,-0.059,1.020
522,0.004,0.008,1.000
523,-0.004,0.039,1.090
524,0.004,-0.043,1.051
525,0.020,-0.070,1.055
526,-0.016,-0.020,1.102
527,-0.043,-0.035,1.117
528,-0.098,-0.051,1.133
529,-0.066,-0.051,0.988
530,0.070,0.012,1.008
531,0.066,0.016,1.082
532,-0.039,-0.074,1.086
533,-0.125,-0.109,0.988
534,-0.090,0.000,0.996
535,0.098,0.051,1.070
536,0.113,0.047,1.031
537,0.059,-0.020,0.973
538,-0.031,-0.051,0.980
539,-0.023,-0.004,0.988
540,0.047,0.059,1.012
541,0.043,0.051,0.953
542,0.016,-0.023,0.949
543,0.000,-0.012,0.953
544,0.012,0.031,1.016
545,-0.012,0.008,0.977
546,0.062,-0.004,1.055
547,0.004,0.000,1.062
548,-0.008,0.020,1.020
549,-0.039,0.027,0.996
550,-0.047,0.047,1.055
551,0.016,0.062,1.070
552,0.023,0.074,1.094
553,-0.016,0.094,1.109
554,-0.066,0.027,1.098
555,-0.070,-0.055,0.969
556,0.016,0.012,1.027
557,0.117,0.102,1.090
558,0.059,0.055,0.984
559,-0.020,-0.027,0.980
560,-0.062,0.023,1.020
561,0.000,0.117,0.988
562,0.078,0.164,1.004
563,0.031,0.090,0.988
