Sample,X,Y,Z
358,0.762,0.152,1.312
359,-0.199,-1.316,1.281
360,-0.277,-1.336,0.395
361,0.094,-1.359,0.789
362,-0.688,-0.941,1.309
363,0.520,-0.082,1.375
364,0.164,-0.402,1.059
365,-0.117,-1.184,0.695
366,0.031,-1.609,1.281
367,0.059,-1.062,0.570
368,-0.992,-1.207,1.375
369,0.879,-0.938,0.918
370,0.047,-0.562,1.012
371,0.395,-0.758,0.812
372,0.328,-1.016,1.098
373,-0.629,-1.117,1.016
374,0.406,-1.016,0.746
375,0.039,-0.766,1.496
376,-0.352,-0.953,1.238
377,0.387,-1.254,0.613
378,-0.539,-1.250,1.293
379,0.457,-1.148,1.109
380,-0.020,-0.738,1.273
381,-0.316,-0.707,0.887
382,0.211,-1.457,0.996
383,-0.602,-1.332,1.004
384,0.531,-1.113,1.039
385,-0.293,-0.703,1.688
386,0.145,-0.715,0.359
387,0.066,-1.395,0.781
388,-0.293,-1.277,1.039
389,0.461,-0.723,0.812
390,-0.098,-0.570,1.375
391,-0.031,-0.871,0.816
392,-0.008,-1.266,1.156
393,0.137,-1.352,0.969
394,-0.074,-0.879,1.059
395,-0.016,-0.688,1.125
396,0.254,-0.719,1.113
397,-0.156,-0.828,1.266
398,0.027,-1.121,1.180
399,-0.156,-1.125,0.980
400,-0.195,-1.297,1.301
401,0.320,-1.094,0.668
402,-0.352,-0.617,1.395
403,0.332,-1.082,1.473
404,-0.578,-1.473,1.078
405,0.125,-0.785,0.242
406,0.219,-0.516,1.188
407,0.219,-0.516,1.188
408,0.320,-0.512,1.570
409,0.320,-1.059,0.789
410,-0.180,-1.688,0.777
411,-0.414,-1.328,0.742
412,0.211,-0.180,0.816
413,0.273,0.191,1.316
414,0.223,-0.855,1.574
415,-0.391,-1.918,0.660
416,-0.734,-1.078,0.172
417,0.020,0.441,1.039
418,0.566,1.199,1.344
419,0.391,0.895,1.125
420,-0.004,-0.121,0.746
421,-0.527,-0.410,0.824
422,-0.203,0.047,0.961
423,0.273,0.285,1.352
424,0.355,0.059,1.488
425,-0.152,-0.164,1.062
426,-0.035,-0.426,0.559
427,-0.160,-0.211,1.168
428,0.379,0.230,1.367
429,0.289,0.355,1.309
430,0.094,-0.031,0.914
431,-0.066,-0.195,0.617
432,-0.328,-0.020,0.992
433,-0.105,0.566,1.469
434,0.090,0.770,1.566
435,0.281,0.152,1.012
436,-0.230,-0.566,0.602
437,-0.145,-0.629,0.746
438,-0.066,-0.125,1.160
439,0.090,0.254,1.383
440,0.043,0.066,0.883
441,-0.117,-0.281,0.656
442,-0.023,-0.023,0.645
443,0.191,0.312,0.914
444,0.152,0.309,0.969
445,0.180,0.172,0.695
446,-0.012,0.020,0.805
447,-0.004,-0.023,1.000
448,0.066,-0.012,1.195
449,-0.160,-0.199,1.164
450,-0.070,-0.250,0.914
451,-0.047,-0.188,1.078
452,0.039,-0.066,1.027
453,0.082,0.133,1.055
454,-0.043,0.254,1.145
455,-0.016,0.270,1.141
456,0.000,0.090,1.113
457,0.020,-0.039,0.887
458,-0.016,-0.023,1.117
459,0.176,-0.004,1.230
460,-0.051,-0.016,1.270
461,-0.125,-0.145,0.895
462,-0.109,-0.148,0.938
463,0.043,0.086,1.027
464,0.207,0.230,0.965
465,0.055,0.133,0.906
466,-0.066,-0.098,0.863
467,-0.043,-0.090,0.828
468,-0.012,0.113,1.090
469,0.223,0.270,1.059
470,0.121,0.109,0.969
471,-0.039,-0.191,0.844
472,-0.113,-0.172,0.906
473,-0.168,-0.066,1.133
474,-0.035,0.055,1.137
475,-0.121,0.023,1.090
476,-0.035,-0.066,0.930
477,0.004,-0.004,0.977
478,0.031,0.035,0.980
479,0.090,0.020,1.004
480,0.062,0.051,1.074
481,0.031,0.074,0.953
482,0.074,0.074,1.168
483,0.078,0.055,1.113
484,0.043,-0.027,1.078
485,-0.008,-0.062,0.949
486,-0.059,-0.039,1.039
487,-0.062,-0.059,1.141
488,-0.020,-0.031,1.102
489,0.051,0.035,1.066
490,0.105,0.062,1.020
491,0.082,-0.039,0.887
492,-0.016,-0.062,0.969
493,0.055,0.094,1.031
494,0.047,0.215,1.184
495,0.008,0.090,1.090
496,-0.074,-0.129,0.996
497,-0.164,-0.188,1.035
498,-0.059,-0.117,1.008
499,-0.090,-0.004,1.062
500,0.027,0.008,0.984
501,0.086,0.055,0.961
502,0.121,0.121,0.965
503,0.105,0.078,0.910
504,0.043,-0.004,0.969
505,0.039,-0.008,0.945
506,0.086,0.051,0.887
507,0.031,0.016,1.000
508,-0.004,0.004,1.059
509,-0.117,-0.078,0.992
510,-0.047,-0.035,0.992
511,-0.059,0.035,1.004
512,0.031,0.016,1.055
513,0.062,0.066,1.066
514,0.074,0.109,1.098
515,0.020,0.031,1.102
516,-0.047,-0.051,1.090
517,0.012,-0.027,1.070
518,0.070,0.039,1.082
519,0.082,0.074,1.012
520,-0.020,-0.004,0.977
521,-0.109,-0.113,0.988
522,-0.062,-0.016,0.992
523,0.031,0.129,1.020
524,0.121,0.070,0.957
525,0.152,-0.004,0.891
526,0.066,-0.008,0.996
527,-0.012,0.000,1.039
528,0.000,0.031,1.043
529,0.004,0.047,1.047
530,0.070,0.086,0.988
531,-0.012,0.098,0.992
532,-0.098,0.031,1.113
533,-0.082,-0.051,1.109
534,-0.094,-0.047,1.066
535,0.035,-0.008,1.020
536,0.105,0.016,1.082
537,0.125,0.055,1.027
538,0.059,0.047,1.008
539,0.039,0.027,0.965
540,0.039,0.039,0.891
541,0.008,0.098,0.980
542,0.023,0.137,0.992
543,0.004,0.066,1.016
544,-0.031,-0.039,0.957
545,-0.059,-0.129,0.957
546,0.000,-0.098,1.012
547,0.074,0.031,1.043
548,0.070,0.062,1.070
549,0.059,0.047,0.938
550,0.008,0.051,0.977
551,0.020,0.082,0.949
552,-0.020,0.098,1.039
553,-0.012,0.055,0.949
554,0.020,-0.004,1.008
555,-0.020,-0.055,1.023
556,-0.008,-0.078,0.961
557,0.000,-0.035,1.102
558,0.102,0.000,0.988
559,0.074,0.020,0.957
560,0.070,0.039,1.027
561,0.051,0.105,1.031
562,0.027,0.117,1.062
563,-0.008,0.062,1.016
564,-0.020,-0.020,0.945
565,-0.059,-0.066,1.027
566,-0.031,-0.027,1.000
567,0.004,-0.008,1.062
568,0.066,-0.035,1.012
569,0.039,-0.023,0.980
570,0.027,0.020,0.984
571,0.039,0.039,1.023
572,0.012,0.105,1.023
573,0.004,0.082,1.016
574,0.020,0.008,1.023
575,-0.027,-0.047,1.004
576,-0.004,-0.031,1.047
577,0.000,-0.023,0.984
578,0.062,0.043,0.988
579,0.043,0.008,1.059
580,0.043,0.012,1.059
581,0.059,0.074,1.023
582,0.016,0.016,1.070
583,-0.012,-0.031,1.023
584,-0.047,-0.047,1.027
585,-0.020,-0.016,1.016
586,0.031,0.051,1.039
587,-0.012,0.047,1.039
588,-0.023,-0.051,0.957
589,-0.031,-0.082,0.977
590,0.020,0.020,1.043
591,0.059,0.125,1.051
592,0.105,0.066,1.020
593,0.070,-0.039,0.973
594,0.008,-0.066,1.031
595,-0.008,-0.008,1.031
596,0.004,0.035,1.023
597,0.004,0.023,1.000
598,-0.023,0.031,0.961
599,-0.035,0.008,1.016
600,-0.035,0.008,0.980
601,-0.004,0.016,1.043
602,0.043,0.047,1.008
603,0.051,0.031,1.066
604,0.059,-0.039,0.973
605,0.035,-0.027,1.039
606,-0.039,-0.012,1.043
607,0.000,0.020,1.020
608,-0.020,0.000,1.043
609,-0.031,0.023,0.973
610,0.012,0.074,0.984
611,0.047,0.082,1.023
612,0.008,0.004,0.973
613,-0.004,-0.086,1.000
614,0.051,-0.016,0.961
615,0.094,0.098,1.098
616,0.066,0.082,1.082
617,0.023,0.012,0.973
618,0.004,-0.012,0.996
619,-0.016,0.047,1.023
620,-0.004,0.094,1.055
621,-0.020,0.016,1.020
622,-0.023,-0.051,0.969
623,-0.008,-0.039,0.969
624,0.039,-0.016,0.957
625,0.051,0.008,0.996
626,0.031,0.051,1.016
627,0.066,0.070,0.938
628,0.051,0.059,1.031
629,0.043,0.051,1.004
630,-0.035,0.059,1.023
631,-0.016,0.023,1.004
632,-0.008,-0.016,1.000
633,-0.020,-0.055,1.055
634,0.016,-0.016,1.055
635,0.043,0.035,1.055
636,0.059,0.035,1.023
637,0.031,0.000,1.004
638,0.023,0.043,0.980
639,0.059,0.125,1.016
640,0.043,0.129,1.066
641,0.004,0.039,0.973
642,-0.047,-0.062,1.008
643,-0.031,-0.066,0.980
644,-0.027,-0.023,1.035
645,-0.008,-0.031,1.082
646,0.012,-0.020,0.969
647,0.016,0.031,0.984
648,0.055,0.066,0.980
649,0.023,0.086,0.992
650,0.027,0.070,0.949
651,0.027,0.051,1.023
652,-0.008,0.000,1.070
653,-0.059,-0.027,1.008
654,-0.004,-0.027,1.035
655,-0.016,-0.031,1.070
656,0.004,-0.043,1.012
657,-0.016,-0.043,1.012
658,0.004,0.027,1.051
659,0.074,0.109,1.074
660,0.043,0.070,1.027
661,0.000,-0.008,0.992
662,-0.020,-0.023,0.988
663,0.004,0.035,1.016
664,0.031,0.055,1.027
665,0.004,0.000,0.980
666,-0.016,-0.047,1.000
667,-0.035,-0.066,0.996
668,-0.012,0.000,1.066
669,0.016,0.039,1.070
670,0.031,0.035,1.027
671,0.051,-0.004,0.988
672,0.012,-0.004,0.996
673,0.023,0.027,0.980
674,-0.016,0.027,0.969
675,0.023,0.023,1.078
676,0.043,0.004,1.016
677,0.027,0.020,1.004
678,0.055,0.035,1.016
679,0.012,0.000,1.012
680,-0.008,-0.051,1.027
681,-0.035,-0.039,1.039
682,0.008,-0.008,1.027
683,0.016,0.043,1.039
684,0.016,0.020,1.012
685,0.000,0.008,0.961
686,0.004,0.020,1.008
687,0.012,0.055,1.023
688,0.020,0.070,1.027
689,0.016,0.020,1.039
690,0.012,-0.055,0.980
691,-0.020,-0.098,1.027
692,0.004,-0.047,1.047
693,0.027,-0.008,1.035
694,0.039,0.031,1.020
695,0.016,0.035,1.016
696,-0.004,0.043,0.926
697,0.012,0.055,1.059
698,0.008,0.055,1.023
699,0.023,0.027,0.957
700,-0.016,-0.008,1.043
701,0.047,-0.027,1.043
702,-0.012,-0.027,1.051
703,0.020,-0.004,1.031
704,0.008,-0.016,1.012
705,-0.004,-0.012,1.008
706,-0.004,-0.012,1.008
707,0.004,0.027,1.000
708,0.051,0.074,1.020
709,0.035,0.086,1.000
710,0.008,0.035,0.984
711,-0.004,-0.020,1.027
712,0.004,-0.023,0.988
713,0.004,0.008,1.027
714,0.012,0.008,1.035
715,0.027,-0.020,1.008
716,0.000,-0.016,1.043
717,0.012,0.039,1.000
718,-0.008,0.082,1.023
719,0.008,0.055,1.051
720,0.020,0.020,1.016
721,-0.023,-0.008,0.988
722,0.000,-0.023,1.000
723,0.027,-0.016,1.039
724,0.031,0.004,0.973
725,0.027,0.047,0.973
726,0.008,0.051,0.992
727,0.039,0.070,0.973
728,0.020,0.070,1.004
729,0.020,0.035,1.000
730,-0.023,-0.008,1.012
731,-0.020,-0.043,1.074
732,-0.016,-0.016,1.031
733,0.023,0.016,1.012
734,0.020,0.012,1.027
735,-0.004,-0.016,0.980
736,-0.008,-0.008,0.965
737,0.004,0.043,0.957
738,0.012,0.090,1.031
739,0.023,0.070,1.023
740,-0.004,0.004,0.992
741,-0.012,-0.035,0.977
742,-0.023,-0.023,0.996
743,0.008,-0.016,1.066
744,0.020,0.016,1.027
745,0.020,0.023,1.031
746,0.035,0.008,0.996
747,-0.004,0.027,0.961
748,0.020,0.043,1.043
749,-0.020,0.055,1.098
750,-0.004,0.023,1.047
751,-0.016,-0.008,1.020
752,0.027,-0.020,1.043
753,0.012,-0.016,1.055
754,-0.004,-0.004,1.023
755,-0.008,-0.023,1.000
756,0.008,0.004,1.004
757,0.020,0.043,1.031
758,0.023,0.035,0.953
759,-0.020,-0.012,1.023
760,-0.012,-0.023,1.020
761,0.004,0.004,1.004
762,0.016,0.031,1.039
763,0.055,0.000,1.023
764,0.031,-0.016,1.004
765,0.000,0.004,1.008
766,0.016,0.016,1.004
767,0.016,0.031,1.000
768,0.023,0.027,0.988
769,0.008,-0.012,1.035
770,-0.020,-0.027,1.016
771,0.008,0.012,1.004
772,0.008,0.016,1.047
773,-0.008,0.008,1.020
774,0.020,0.031,1.004
775,0.020,0.035,1.027
776,0.027,0.051,1.055
777,0.008,0.023,1.027
778,0.008,-0.027,1.031
779,0.004,-0.055,1.004
780,-0.012,-0.031,1.051
781,0.016,0.000,1.027
782,0.035,0.012,1.016
783,-0.016,0.000,0.961
784,0.004,-0.012,0.938
