Sample,X,Y,Z
551,0.000,0.039,0.926
552,0.055,0.035,0.922
553,0.109,0.102,1.004
554,0.090,0.023,1.062
555,0.031,-0.121,0.945
556,-0.027,-0.133,0.996
557,-0.059,-0.078,1.070
558,-0.023,0.004,1.066
559,-0.094,-0.023,1.047
560,-0.125,0.000,1.047
561,-0.078,0.082,1.184
562,-0.078,0.078,1.219
563,-0.062,0.023,1.164
564,-0.102,-0.043,1.219
565,-0.113,-0.062,1.176
566,-0.031,-0.016,1.137
567,0.004,0.016,1.039
568,0.039,0.059,1.035
569,0.039,0.059,1.035
570,-0.012,0.020,1.016
571,0.031,0.020,0.973
572,0.062,0.027,0.910
573,0.082,0.000,0.895
574,0.059,-0.059,0.922
575,-0.027,-0.059,0.898
576,0.027,0.027,0.883
577,0.086,0.102,0.926
578,0.051,0.109,0.887
579,-0.012,0.023,0.898
580,-0.070,-0.020,0.992
581,-0.066,-0.004,1.117
582,-0.066,-0.004,1.117
583,-0.023,-0.012,1.070
584,-0.105,-0.039,1.027
585,-0.145,-0.062,1.121
586,-0.086,0.008,1.133
587,-0.031,0.059,1.148
588,-0.027,0.023,1.188
589,-0.070,-0.047,1.191
590,-0.055,-0.059,1.191
591,-0.035,-0.043,1.113
592,-0.031,0.004,1.043
593,0.016,0.035,1.023
594,-0.039,0.035,0.977
595,-0.008,0.043,0.922
596,-0.004,0.055,0.898
597,-0.027,0.020,0.906
598,0.012,-0.004,0.859
599,-0.023,-0.039,0.871
600,-0.023,-0.055,0.883
601,-0.004,-0.012,0.895
602,0.020,0.047,0.902
603,0.023,0.070,1.094
604,-0.027,0.008,0.996
605,-0.059,-0.008,1.031
606,-0.066,0.008,1.082
607,-0.098,0.000,1.113
608,-0.078,-0.023,1.164
609,-0.129,0.000,1.137
610,-0.059,0.039,1.152
611,-0.004,0.059,1.199
612,-0.012,0.027,1.160
613,-0.066,-0.047,1.078
614,-0.125,-0.055,1.035
615,-0.078,-0.004,1.016
616,-0.031,0.039,0.953
617,-0.043,0.039,0.914
618,-0.094,0.000,0.910
619,-0.070,0.016,0.918
620,0.004,0.039,0.918
621,-0.023,0.004,0.934
622,-0.055,-0.039,0.980
623,-0.023,-0.020,0.953
624,0.000,0.043,1.020
625,-0.004,0.059,0.965
626,-0.023,0.043,1.027
627,-0.035,-0.012,1.020
628,-0.043,-0.023,1.121
629,-0.016,0.016,1.133
630,-0.016,0.023,1.094
631,-0.059,-0.008,1.047
632,-0.070,0.012,1.070
633,-0.082,0.043,1.078
634,-0.035,0.023,1.051
635,-0.043,-0.016,1.031
636,-0.086,-0.023,1.066
637,-0.090,-0.027,1.039
638,-0.051,-0.016,0.977
639,-0.027,0.000,1.000
640,-0.020,0.004,0.992
641,-0.027,0.008,0.977
642,-0.008,-0.008,0.961
643,0.020,0.020,0.984
644,0.062,0.035,1.004
645,0.023,0.012,0.984
646,0.043,-0.012,1.020
647,0.051,-0.008,1.035
648,0.039,0.020,1.035
649,0.074,0.000,1.039
650,-0.016,-0.012,1.059
651,-0.082,-0.035,1.066
652,-0.016,0.000,1.062
653,-0.031,0.016,1.012
654,-0.035,0.012,1.023
655,-0.047,-0.012,1.047
656,-0.070,0.004,1.047
657,-0.020,0.031,1.051
658,0.012,0.008,1.039
659,-0.039,-0.039,1.035
660,-0.078,-0.062,1.020
661,-0.027,-0.012,1.031
662,0.020,0.016,1.000
663,0.016,0.016,1.035
664,0.027,-0.016,0.988
665,0.016,0.012,1.027
666,0.035,0.023,1.039
667,0.062,0.043,1.031
668,0.035,-0.004,0.961
669,0.008,-0.008,0.957
670,0.012,0.004,0.988
671,-0.008,0.027,0.938
672,0.012,0.012,0.934
673,-0.016,-0.008,0.977
674,-0.031,0.012,0.977
675,-0.043,-0.027,0.957
676,-0.055,-0.031,1.055
677,-0.051,0.000,1.012
678,-0.047,0.020,1.023
679,-0.039,0.031,1.062
680,-0.047,0.016,1.074
681,-0.027,0.035,1.055
682,-0.023,0.012,1.051
683,-0.043,-0.016,1.031
684,-0.039,-0.039,1.047
685,-0.031,-0.023,1.020
686,0.000,0.020,1.027
687,0.027,0.008,1.023
688,0.012,0.000,1.051
689,-0.004,0.020,1.012
690,0.000,0.039,0.949
691,-0.004,0.023,0.965
692,-0.027,0.012,0.930
693,-0.051,-0.004,0.969
694,-0.031,0.020,0.965
695,0.008,0.043,1.000
696,-0.039,-0.012,1.016
697,-0.023,-0.043,1.039
698,-0.066,-0.023,1.094
699,-0.062,0.004,1.039
700,-0.016,0.000,1.117
701,-0.070,-0.016,1.082
702,-0.012,-0.008,1.031
703,-0.020,0.039,1.094
704,0.012,0.027,1.082
705,-0.012,0.008,1.059
706,-0.016,-0.004,1.062
707,-0.004,0.012,1.059
708,-0.008,-0.012,1.039
709,-0.004,0.000,1.016
710,0.004,-0.004,0.938
711,0.016,0.000,0.957
712,0.020,0.012,1.016
713,0.020,0.004,0.996
714,0.020,0.004,0.996
715,0.031,-0.004,0.898
716,0.016,-0.008,0.988
717,0.020,0.004,0.992
718,-0.016,0.008,0.996
719,-0.016,0.004,0.953
720,0.023,0.012,1.059
721,0.039,0.000,1.109
722,0.027,-0.016,1.035
723,0.035,-0.016,1.125
724,0.012,0.016,1.109
725,0.016,-0.012,1.082
726,0.027,0.000,1.070
727,0.004,0.008,1.043
728,0.008,0.012,1.062
729,0.035,0.020,1.039
730,0.004,-0.004,1.027
731,-0.027,-0.035,1.016
732,0.016,-0.016,0.988
733,0.031,-0.012,1.004
734,0.039,0.004,1.016
735,0.043,0.004,0.965
736,0.035,0.000,0.965
737,0.043,0.012,1.023
738,0.035,0.016,0.973
739,0.012,0.012,0.973
740,0.031,0.016,1.000
741,0.035,0.039,1.043
742,0.043,0.023,1.008
743,0.027,0.004,1.008
744,0.000,-0.023,0.996
745,-0.004,-0.023,1.090
746,-0.008,-0.004,1.008
747,-0.027,-0.016,1.035
748,0.012,0.023,1.070
749,0.023,0.035,1.047
750,0.012,0.043,1.098
751,0.004,0.027,1.008
752,0.000,0.023,1.043
753,0.023,0.004,1.004
754,-0.004,0.020,1.012
755,-0.004,0.020,1.020
756,0.027,0.004,1.000
757,0.027,0.008,1.012
758,0.004,0.016,1.047
759,0.039,-0.004,1.027
760,0.031,0.004,1.016
761,0.031,0.043,1.004
762,0.055,0.051,0.973
763,0.023,0.008,0.961
764,0.008,-0.020,0.996
765,0.000,-0.027,0.984
766,0.016,-0.004,1.047
767,0.012,0.008,1.070
768,-0.004,-0.008,1.043
769,-0.004,0.027,1.016
770,0.004,0.047,1.047
771,-0.023,0.055,1.102
772,-0.008,0.035,1.090
773,0.004,0.000,1.059
774,-0.008,0.000,1.109
775,0.023,0.012,1.047
776,0.043,-0.004,1.012
777,0.027,-0.012,1.043
778,0.012,-0.008,1.008
779,0.035,0.020,1.000
780,0.031,0.004,1.020
781,0.039,0.004,1.000
782,0.039,0.004,1.000
783,0.031,0.023,0.977
784,0.012,0.039,0.938
785,0.035,0.043,0.977
786,0.012,0.012,1.012
787,-0.004,0.012,1.000
788,0.043,0.016,1.039
789,0.023,0.004,1.055
790,0.012,-0.008,1.062
791,0.023,-0.023,1.023
792,0.004,-0.016,1.051
793,-0.031,-0.004,1.082
794,0.027,0.016,1.020
795,0.023,0.012,1.031
796,0.023,0.035,1.066
797,0.066,0.020,1.051
798,0.066,0.020,1.051
799,0.020,0.020,1.074
800,0.023,0.012,1.086
801,0.035,-0.004,1.031
802,0.012,-0.004,1.031
803,0.043,0.023,1.031
804,0.027,0.023,0.992
805,0.016,0.020,0.996
806,0.059,0.027,0.980
807,0.047,0.012,0.980
808,0.051,-0.016,1.039
809,0.023,-0.016,1.035
810,0.043,-0.008,1.023
811,0.051,0.004,1.004
812,0.035,0.020,0.988
813,0.027,0.039,1.043
814,0.031,0.043,1.027
815,0.008,0.027,1.035
816,0.016,0.012,1.082
817,0.004,0.020,1.105
818,-0.004,-0.004,1.031
819,0.027,0.000,1.074
820,-0.008,0.031,1.094
821,0.012,0.012,1.051
822,0.039,0.004,1.090
823,0.016,0.008,1.082
824,0.000,0.000,0.977
825,0.027,0.008,0.980
826,0.027,0.031,0.992
827,0.004,0.059,0.980
828,0.047,0.043,1.004
829,0.027,0.051,1.004
830,0.031,0.020,1.043
831,0.008,0.000,0.992
832,0.020,-0.020,1.016
833,0.008,-0.008,1.016
834,0.031,0.000,1.031
835,0.023,0.004,1.023
836,0.020,0.031,1.059
837,0.031,0.035,1.043
838,0.031,0.027,1.039
839,-0.004,0.012,1.039
840,-0.020,0.020,1.082
841,0.004,-0.004,1.020
842,-0.016,0.000,0.996
843,0.012,0.020,1.012
844,0.023,0.004,1.078
845,0.008,0.016,0.969
846,-0.023,0.008,1.000
847,0.008,-0.004,1.027
848,0.008,0.000,1.043
849,0.027,0.016,1.043
850,0.027,0.035,1.039
851,0.020,0.047,1.008
852,0.023,0.051,1.043
853,0.008,0.035,0.980
854,0.004,-0.004,1.000
855,0.008,-0.016,0.980
856,0.008,-0.016,1.027
857,0.020,-0.008,1.004
858,0.016,-0.008,1.000
859,0.000,0.016,1.020
860,-0.004,0.027,0.984
861,-0.008,0.031,0.977
862,0.008,0.016,1.035
863,-0.031,0.020,1.004
864,0.008,0.016,0.949
865,0.004,0.023,0.953
866,-0.031,0.016,1.043
867,-0.004,0.012,1.043
868,0.023,0.012,1.066
869,0.023,0.000,1.051
870,-0.027,-0.004,1.062
871,0.004,-0.008,0.996
872,-0.016,0.008,1.039
873,-0.004,0.035,1.016
874,0.000,0.020,1.031
875,-0.004,0.031,1.020
876,0.023,0.051,1.012
877,-0.023,0.023,1.051
878,-0.035,-0.004,0.996
879,-0.016,-0.004,1.008
880,-0.016,-0.020,1.008
881,0.004,0.012,1.016
882,-0.004,0.016,1.008
883,-0.008,0.020,1.012
884,0.020,0.027,1.051
885,0.008,0.027,1.047
886,0.000,0.016,1.055
887,-0.004,0.012,1.031
888,0.000,0.000,1.074
889,-0.008,0.012,1.074
890,-0.031,0.023,0.988
891,-0.039,0.016,1.113
892,-0.008,0.012,1.012
893,-0.004,-0.012,0.973
894,-0.012,0.004,1.020
895,-0.008,0.004,0.988
896,-0.016,0.012,0.984
897,0.004,0.023,1.020
898,-0.004,0.027,0.980
899,-0.012,0.043,1.000
900,-0.004,0.020,1.031
901,-0.004,0.020,1.031
902,-0.016,0.000,0.977
903,-0.035,-0.004,1.062
904,-0.008,0.004,1.027
905,-0.008,0.000,1.027
906,0.000,-0.012,0.988
907,-0.008,-0.008,1.000
908,-0.027,0.016,1.043
909,-0.004,0.016,1.027
910,-0.004,0.004,0.992
911,-0.031,0.020,1.008
912,-0.008,0.043,1.023
913,0.000,0.008,1.020
914,-0.020,0.012,1.039
915,-0.039,0.004,0.965
916,-0.035,0.004,0.988
917,-0.004,-0.004,1.102
918,-0.020,-0.004,1.000
919,-0.035,-0.004,1.027
