Sample,X,Y,Z
514,0.023,0.074,1.367
515,0.004,-0.016,1.344
516,0.039,0.121,1.258
517,0.188,0.203,1.000
518,-0.039,-0.020,1.047
519,0.031,-0.043,0.844
520,-0.043,-0.047,1.023
521,-0.074,0.035,0.832
522,0.039,-0.055,0.758
523,-0.047,-0.086,0.805
524,-0.031,0.098,0.777
525,0.016,0.117,0.777
526,-0.062,0.039,0.789
527,-0.082,-0.004,0.895
528,-0.129,0.023,0.863
529,-0.059,0.027,0.969
530,0.004,0.031,1.039
531,0.066,0.043,1.227
532,0.094,0.074,1.211
533,0.109,0.070,1.270
534,0.152,0.031,1.328
535,0.051,-0.086,1.227
536,0.027,-0.062,1.035
537,-0.012,-0.012,1.133
538,-0.023,0.023,1.082
539,-0.012,0.000,0.953
540,-0.098,-0.012,0.918
541,-0.105,0.008,0.969
542,-0.113,-0.031,0.988
543,-0.078,-0.066,0.898
544,-0.141,-0.059,0.883
545,-0.109,0.008,0.938
546,-0.020,0.047,0.938
547,-0.012,0.051,1.008
548,0.047,0.055,1.012
549,0.059,0.020,1.105
550,0.098,0.020,1.141
551,0.109,0.004,1.074
552,0.047,-0.039,1.086
553,0.102,-0.020,1.043
554,0.062,-0.008,1.043
555,0.035,0.031,1.074
556,0.043,0.016,1.008
557,-0.004,0.016,1.004
558,-0.047,-0.012,0.965
559,-0.078,0.000,0.996
560,-0.090,0.008,0.965
561,-0.117,-0.023,0.965
562,-0.109,0.008,1.004
563,-0.105,0.012,0.980
564,-0.137,-0.035,0.984
565,-0.086,-0.027,1.035
566,-0.055,-0.016,1.094
567,-0.020,-0.004,1.086
568,0.016,-0.023,1.113
569,0.043,0.000,1.133
570,0.066,0.043,1.145
571,0.117,0.062,1.160
572,0.047,0.039,1.086
573,0.012,-0.008,1.039
574,0.016,0.020,1.004
575,-0.031,0.027,1.000
576,-0.051,0.020,0.977
577,-0.055,-0.016,0.973
578,-0.055,-0.023,0.926
579,-0.051,0.043,0.910
580,-0.078,0.023,0.945
581,-0.094,-0.008,0.941
582,-0.137,-0.031,1.035
583,-0.086,0.004,0.957
584,-0.098,0.031,1.012
585,-0.082,0.020,1.043
